id,name,description,department,department_tags,template_id,training_page_id,from_name,from_email,timezone,notification_emails,start_date,end_date,status,target_count,open_count,click_count,submit_count,fiscal_year,fiscal_quarter,week_of_year,created_at,training_link_token,report_capture_inbox_file_key,report_capture_email_file_key,report_capture_malicious_file_key,report_capture_training_file_key,send_validation_error,tenant_id,smtp_account_id
6f5c54c9-78ff-48b2-b514-1aa369fbfa5c,2025년 08월 복지·근태 정책 안내 점검 1차,복지 및 근태 정책 변경 공지를 사칭한 공격 유형에 대한 대응력을 강화합니다. 인사 발령 및 급여 정산 안내 메일을 위장한 공격 유형을 점검합니다.,인사부,"{인사부,교육프로그램}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,hr@company.com}",2025-08-04 09:00:00,2025-08-07 18:00:00,완료,168,131,29,13,2025,3,{},2025-07-28 09:00:00,2ab4591f9305,,,,,,tenant-local-001,
8615ed16-fede-4db1-a1a0-b1a65517f44d,2025년 10월 협력사 보안 점검 공지 2차,협력사 보안 점검 요청을 사칭한 메일을 통해 대응 절차를 재확인합니다. 신제품 자료 열람 요청으로 위장한 기술 유출 위협을 모의합니다.,연구개발센터,"{연구개발센터,기술보안}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,rndlead@company.com}",2025-10-17 09:00:00,2025-10-20 18:00:00,임시,198,,,,2025,4,{},2025-10-10 09:00:00,48034a98d347,,,,,,tenant-local-001,
06a80db1-07d2-4b16-ac91-e8c28dd0e85d,2025년 11월 계정 보안 재인증 점검 1차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. 신제품 자료 열람 요청으로 위장한 기술 유출 위협을 모의합니다.,연구개발센터,"{연구개발센터,기술보안}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,rndlead@company.com}",2025-11-04 09:00:00,2025-11-07 18:00:00,임시,186,,,,2025,4,{},2025-10-28 09:00:00,32db75d012cb,,,,,,tenant-local-001,
e9b7baf8-d250-4b16-b9a9-9833e8396250,계정 정보 설정 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",f0535ee2-b911-4022-8db9-01d21a16a50e,7678ebbd-c448-4828-b146-d4e94508d69b,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-18 11:54:00,2026-03-18 15:00:00,완료,3,1,1,,2026,1,{12},2026-03-18 11:54:17.472,205f92dc5509e14291bff816b9ee57d2,,,,,,tenant-local-001,
b13eb3db-cc96-465e-85c6-16c69f8ed6a0,2025년 05월 협력사 보안 점검 공지 2차,협력사 보안 점검 요청을 사칭한 메일을 통해 대응 절차를 재확인합니다. 주요 고객 발주서와 납품 일정을 사칭하는 메시지를 통해 승인 절차를 검증합니다.,영업본부,"{영업본부,거래처보호}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,saleslead@company.com}",2025-05-17 09:00:00,2025-05-20 18:00:00,완료,168,,,,2025,2,{},2025-05-10 09:00:00,08afcec08cef,,,,,,tenant-local-001,
2a4b53fd-cb8b-4bb6-b703-566bdc1d59e9,2025년 05월 협력사 보안 점검 공지 1차,협력사 보안 점검 요청을 사칭한 메일을 통해 대응 절차를 재확인합니다. 신제품 자료 열람 요청으로 위장한 기술 유출 위협을 모의합니다.,연구개발센터,"{연구개발센터,기술보안}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,rndlead@company.com}",2025-05-04 09:00:00,2025-05-07 18:00:00,완료,150,117,26,12,2025,2,{},2025-04-27 09:00:00,1216e697051d,,,,,,tenant-local-001,
7564cda3-52fc-498e-81a5-23278f3e7d26,2025년 01월 계정 보안 재인증 점검 2차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. 인사 발령 및 급여 정산 안내 메일을 위장한 공격 유형을 점검합니다.,인사부,"{인사부,교육프로그램}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,hr@company.com}",2025-01-17 09:00:00,2025-01-20 18:00:00,완료,144,,,,2025,1,{},2025-01-10 09:00:00,dcdd28be849a,,,,,,tenant-local-001,
0c36b3be-9ef9-43c1-89da-b11f0d1daef4,택배 보류 알림,,기술보안,{기술보안},9f68ee2a-7730-4fdc-9ea5-a5dfacc65116,7678ebbd-c448-4828-b146-d4e94508d69b,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-01-14 15:00:00,2026-01-21 15:00:00,완료,5,,,,2026,1,"{3,4}",2026-01-07 04:22:44.81,7fa3e7bc051099d56a13ec11c7644a56,reports/captures/0c36b3be-9ef9-43c1-89da-b11f0d1daef4/capture_inbox.png,reports/captures/0c36b3be-9ef9-43c1-89da-b11f0d1daef4/capture_email_body.png,reports/captures/0c36b3be-9ef9-43c1-89da-b11f0d1daef4/capture_malicious_page.png,reports/captures/0c36b3be-9ef9-43c1-89da-b11f0d1daef4/capture_training_page.png,,tenant-local-001,
82c88dc0-b5f9-4b99-87da-c5e48d51eb9f,2025년 04월 결제·정산 요청 대응 훈련 2차,결제 요청과 정산 안내를 위장한 사회공학 패턴에 대비하는 훈련입니다. 신제품 자료 열람 요청으로 위장한 기술 유출 위협을 모의합니다.,연구개발센터,"{연구개발센터,기술보안}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,rndlead@company.com}",2025-04-17 09:00:00,2025-04-20 18:00:00,완료,162,126,28,13,2025,2,{},2025-04-10 09:00:00,3e6d55df44c2,,,,,,tenant-local-001,
2ff226e3-2603-40ce-8edc-22474c4a0edc,2025년 01월 계정 보안 재인증 점검 1차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. VPN 재인증과 클라우드 계정 설정 변경을 요구하는 위장 메일을 탐지하는 훈련입니다.,인프라운영실,"{인프라운영실,계정보안}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,itops@company.com}",2025-01-04 09:00:00,2025-01-07 18:00:00,완료,126,98,22,10,2025,1,"{1,2}",2024-12-28 09:00:00,ca5dd53a2e9e,reports/captures/2ff226e3-2603-40ce-8edc-22474c4a0edc/capture_inbox.png,reports/captures/2ff226e3-2603-40ce-8edc-22474c4a0edc/capture_email_body.png,reports/captures/2ff226e3-2603-40ce-8edc-22474c4a0edc/capture_malicious_page.png,reports/captures/2ff226e3-2603-40ce-8edc-22474c4a0edc/capture_training_page.png,,tenant-local-001,
f92d536a-f633-4a5d-8ad1-a5df01946926,모의 악성메일 훈련 결과 안내,,교육프로그램,{교육프로그램},9f68ee2a-7730-4fdc-9ea5-a5dfacc65116,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-01-21 15:00:00,2026-01-23 15:00:00,완료,12,,,,2026,1,{4},2026-01-07 03:53:17.166,e155a15f4480ba93431e0f7201aa8b63,reports/captures/f92d536a-f633-4a5d-8ad1-a5df01946926/capture_inbox.png,reports/captures/f92d536a-f633-4a5d-8ad1-a5df01946926/capture_email_body.png,reports/captures/f92d536a-f633-4a5d-8ad1-a5df01946926/capture_malicious_page.png,reports/captures/f92d536a-f633-4a5d-8ad1-a5df01946926/capture_training_page.png,,tenant-local-001,
52063e56-02d0-4a23-aebc-921a7f06302a,급여 안내 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",b18e3e75-f810-4999-8fcd-f22c6840b089,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-18 08:08:00,2026-03-18 15:00:00,완료,3,,,,2026,1,{12},2026-03-18 08:08:16.654,37f3d9c7e4f7206533d7d88a645bc06e,,,,,,tenant-local-001,
7304ec66-caa5-482d-b534-f82503fc23c4,택배 보류 알림,,개발부,"{개발부,""개발부 > 2팀""}",2d114035-e06e-4c03-84e4-15d5fefc6bbd,7678ebbd-c448-4828-b146-d4e94508d69b,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-19 05:14:00,2026-03-19 15:00:00,완료,2,,,,2026,1,{12},2026-03-18 05:22:07.949,aa7dc5cdda3c4002d36a3c322ae9e19c,,,,,,tenant-local-001,
25136431-67f1-4ad2-a7db-d611ec43ce85,2025년 12월 거래처 요청 위장 대응 훈련 2차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. VPN 재인증과 클라우드 계정 설정 변경을 요구하는 위장 메일을 탐지하는 훈련입니다.,인프라운영실,"{인프라운영실,계정보안}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,itops@company.com}",2025-12-17 09:00:00,2025-12-20 18:00:00,완료,210,164,36,16,2025,4,{},2025-12-10 09:00:00,9b223eb234ac,,,,,,tenant-local-001,
666a62f6-8ca2-4ec6-aeb8-3fcde600b108,2025년 09월 결제·정산 요청 대응 훈련 1차,결제 요청과 정산 안내를 위장한 사회공학 패턴에 대비하는 훈련입니다. 지출 결의와 세금계산서를 가장한 승인 요청에 대한 대응력을 높입니다.,재무전략실,"{재무전략실,결재보안}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,financecontrol@company.com}",2025-09-04 09:00:00,2025-09-07 18:00:00,완료,174,136,30,14,2025,3,{},2025-08-28 09:00:00,b1a6c290d1f5,,,,,,tenant-local-001,
521552aa-7ce8-4617-9cb1-fa74e9d2a857,2025년 02월 거래처 요청 위장 대응 훈련 1차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. 인사 발령 및 급여 정산 안내 메일을 위장한 공격 유형을 점검합니다.,인사부,"{인사부,교육프로그램}",tmpl-tax-refund,tp-result-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,hr@company.com}",2025-02-04 09:00:00,2025-02-07 18:00:00,완료,132,,,,2025,1,{},2025-01-28 09:00:00,954826109e98,,,,,,tenant-local-001,
0d322e5a-0364-4778-acf7-a9272cca51ec,2025년 11월 계정 보안 재인증 점검 2차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. 주요 고객 발주서와 납품 일정을 사칭하는 메시지를 통해 승인 절차를 검증합니다.,영업본부,"{영업본부,거래처보호}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,saleslead@company.com}",2025-11-17 09:00:00,2025-11-20 18:00:00,완료,204,159,35,16,2025,4,{},2025-11-10 09:00:00,292bc8857211,,,,,,tenant-local-001,
d43802ca-e73f-43a3-a85b-4580b5bb86cd,2025년 12월 거래처 요청 위장 대응 훈련 1차,거래처 요청과 납품 일정을 위장한 메일을 중심으로 승인 절차를 점검합니다. 주요 고객 발주서와 납품 일정을 사칭하는 메시지를 통해 승인 절차를 검증합니다.,영업본부,"{영업본부,거래처보호}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,saleslead@company.com}",2025-12-04 09:00:00,2025-12-07 18:00:00,완료,192,150,33,15,2025,4,{},2025-11-27 09:00:00,9d819dd0fd58,,,,,,tenant-local-001,
7b3a465a-73b9-4771-a3ff-949fa341a6ae,2025년 10월 협력사 보안 점검 공지 1차,협력사 보안 점검 요청을 사칭한 메일을 통해 대응 절차를 재확인합니다. 설비 점검 일정을 사칭해 첨부파일 열람을 유도하는 유형을 다룹니다.,생산본부,"{생산본부,현장안전}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,plant@company.com}",2025-10-04 09:00:00,2025-10-07 18:00:00,완료,180,,,,2025,4,{},2025-09-27 09:00:00,63d2e43a75dd,,,,,,tenant-local-001,
06da93de-64f4-4d63-930c-d59731a81fbe,2025년 09월 결제·정산 요청 대응 훈련 2차,결제 요청과 정산 안내를 위장한 사회공학 패턴에 대비하는 훈련입니다. 설비 점검 일정을 사칭해 첨부파일 열람을 유도하는 유형을 다룹니다.,생산본부,"{생산본부,현장안전}",tmpl-m365-lock,tp-notice-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,plant@company.com}",2025-09-17 09:00:00,2025-09-20 18:00:00,완료,192,,,,2025,3,{},2025-09-10 09:00:00,8430693dc5e9,,,,,,tenant-local-001,
a3adc77b-fab6-4db0-a689-6c34d48197ab,2025년 08월 복지·근태 정책 안내 점검 2차,복지 및 근태 정책 변경 공지를 사칭한 공격 유형에 대한 대응력을 강화합니다. 지출 결의와 세금계산서를 가장한 승인 요청에 대한 대응력을 높입니다.,재무전략실,"{재무전략실,결재보안}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,financecontrol@company.com}",2025-08-17 09:00:00,2025-08-20 18:00:00,완료,186,145,32,14,2025,3,{},2025-08-10 09:00:00,8b31138dbe35,,,,,,tenant-local-001,
59f072bd-a3d6-41bf-8bd8-86ab68646c00,2025년 06월 계정 보안 재인증 점검 1차,계정 보안 재인증 안내를 사칭한 시나리오로 인증 절차 준수 여부를 확인합니다. 주요 고객 발주서와 납품 일정을 사칭하는 메시지를 통해 승인 절차를 검증합니다.,영업본부,"{영업본부,거래처보호}",tmpl-shipping-alert,tp-guide-1,정보보안팀,security@company.com,Asia/Seoul,"{security@company.com,saleslead@company.com}",2025-06-04 09:00:00,2025-06-07 18:00:00,완료,156,,,,2025,2,{},2025-05-28 09:00:00,bc90c29435bb,,,,,,tenant-local-001,
6316594e-4670-4182-9509-588328ef6eeb,계정 정보 설정 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",3a057173-ed0b-4a1e-b850-9b9f5c54d577,7678ebbd-c448-4828-b146-d4e94508d69b,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-02-19 07:32:57.004,2026-02-19 15:00:00,완료,3,1,1,1,2026,1,{8},2026-02-19 07:33:35.578,57418c428965439b027dc08b65fc671c,reports/captures/6316594e-4670-4182-9509-588328ef6eeb/capture_inbox.png,reports/captures/6316594e-4670-4182-9509-588328ef6eeb/capture_email_body.png,reports/captures/6316594e-4670-4182-9509-588328ef6eeb/capture_malicious_page.png,reports/captures/6316594e-4670-4182-9509-588328ef6eeb/capture_training_page.png,,tenant-local-001,
9d0d025b-ef1b-4c7d-b980-8266d1c7fc54,배송 알림 템플릿,,개발부,"{개발부,결재보안,교육프로그램}",e5fc3166-570f-420b-bd60-958c48b1480f,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-02-19 03:32:17.917,2026-02-19 15:00:00,완료,1,1,1,1,2026,1,{8},2026-02-19 03:33:03.924,6fb47b08316afb5ebcad813dd008bc9f,reports/captures/9d0d025b-ef1b-4c7d-b980-8266d1c7fc54/capture_inbox.png,reports/captures/9d0d025b-ef1b-4c7d-b980-8266d1c7fc54/capture_email_body.png,reports/captures/9d0d025b-ef1b-4c7d-b980-8266d1c7fc54/capture_malicious_page.png,reports/captures/9d0d025b-ef1b-4c7d-b980-8266d1c7fc54/capture_training_page.png,,tenant-local-001,
767b7255-5cdf-45f6-8237-eeeb7c5c139f,ㅈㄷㄱㅈㄷ,,개발부,"{개발부,""개발부 > 2팀"",""영업본부 > IT영업부""}",3a057173-ed0b-4a1e-b850-9b9f5c54d577,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-06 08:06:02.276,2026-03-13 08:06:02.276,임시,4,,,,2026,1,"{10,11}",2026-03-06 08:22:37.797,eb4dacdb9501d33978f13989c2fd4cf0,,,,,,tenant-local-001,
c20a2ae0-1c7d-489d-b0a9-8dab0d696acb,계정 정보 설정 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",e5fc3166-570f-420b-bd60-958c48b1480f,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-04 12:24:04.111,2026-03-04 15:00:00,임시,1,,,,2026,1,{10},2026-03-04 12:30:58.721,58b85012126e87b6ce65486e3bf7b76f,,,,,,tenant-local-001,
5044fc74-365a-4489-b93f-7db9271f2e26,2025년 보안교육 1회,,개발부,"{개발부,""개발부 > 2팀""}",ae495564-2252-4592-a32b-45b531894131,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-04 06:57:44.763,2026-03-04 15:00:00,완료,3,,,,2026,1,{10},2026-03-04 07:08:15.521,5ed5ff8bab5bab504d38424117fd66bb,,,,,,tenant-local-001,
b01cab91-3205-4f9b-bc39-b9e1c55e1ea3,2026년 전사 교육 1분기,ㅁㄴㅇㄻㅇㄶ,개발부,"{개발부,""개발부 > 2팀""}",e5fc3166-570f-420b-bd60-958c48b1480f,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-04 15:00:00,2026-03-05 15:00:00,완료,2,,,,2026,1,{10},2026-03-04 06:29:00.734,aa6f0ebd6961a461dd0d54eb89a1100a,,,,,,tenant-local-001,
e74903df-c8f4-4f8c-bf6f-bac4be6724f1,2222,,,{},"","",,"",Asia/Seoul,{},2026-03-09 07:14:35.004,2026-03-09 07:14:35.004,임시,0,,,,2026,1,{11},2026-03-09 07:14:43.528,09eabe6ce38fdecad924a7f2dae95049,,,,,,tenant-local-001,
96f2026f-6b5a-4aa7-95e6-58af4b800bee,계정 정보 설정 템플릿,,개발부,"{개발부,""개발부 > 2팀""}",2a5449f4-a6c0-4b9f-9544-5485e3ebe22c,7678ebbd-c448-4828-b146-d4e94508d69b,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-16 07:12:24.533,2026-03-16 15:00:00,완료,3,1,1,,2026,1,{12},2026-03-16 07:13:41.538,e8ed5c22fe4d133e32b8aec45a412480,,,,,,tenant-local-001,
d2d9d3ab-9c16-4d02-b8cd-0e9db1357243,test,,개발부,"{개발부,""개발부 > 2팀""}",b18e3e75-f810-4999-8fcd-f22c6840b089,8b825249-7b53-46c5-a6f2-101e71758d96,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-20 23:30:00,2026-03-20 05:35:30.261,완료,3,,,,2026,1,{12},2026-03-20 05:34:28.873,7e5e9be612f7278b266b4f8ce102e955,,,,,,tenant-local-001,
de7aa241-7d1f-47be-bb3a-9f6d66d90836,test22,,개발부,"{개발부,""개발부 > 2팀""}",b18e3e75-f810-4999-8fcd-f22c6840b089,7678ebbd-c448-4828-b146-d4e94508d69b,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-21 11:04:00,2026-03-28 11:04:00,임시,3,,,,2026,1,"{12,13}",2026-03-20 05:41:49.381,d4b9f6d62f26061bfdac03cac9245691,,,,,,tenant-local-001,
ca7f00e0-5df0-491b-a81b-35ce76ad2219,test_22,,개발부,"{개발부,""개발부 > 2팀""}",affb0537-86b0-41c9-a934-89c1e1b7ac90,da3432e5-025e-4210-8751-0e9309e821ab,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-24 17:02:00,2026-03-25 01:09:38.62,완료,1,1,1,,2026,1,{13},2026-03-24 17:03:21.319,9a234fe79bc892d9fa427f4ab31495a4,,,,,,tenant-local-001,753ae1a9-e744-4437-846f-5c343cd1e6c5
9e4d32d8-2b0f-41d5-8581-66233799e12d,모의 악성메일 훈련 결과 안내 복제,,개발부,{개발부},9f68ee2a-7730-4fdc-9ea5-a5dfacc65116,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-01-08 01:32:52.753,2026-01-14 01:32:52.753,임시,5,0,0,0,2026,1,"{2,3}",2026-03-20 05:30:49.542,2d2f54ad4d4f1074bf7d7d25ee6dd6ab,,,,,,tenant-local-001,
1961fe88-d6e7-4335-b50a-de8baa29d323,모의 악성메일 훈련 결과 안내 복제 2,,개발부,{개발부},9f68ee2a-7730-4fdc-9ea5-a5dfacc65116,8b825249-7b53-46c5-a6f2-101e71758d96,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-01-08 01:32:52.753,2026-01-14 01:32:52.753,임시,5,0,0,0,2026,1,"{2,3}",2026-03-20 05:31:35.243,9b6156ba74812254349e448120a43657,,,,,,tenant-local-001,
f9d98814-0614-46ff-b145-43fac0428b8d,배송지 정보 불일치로 인한 반송 예정 안내 복제,,개발부,"{개발부,""개발부 > 2팀""}",f0535ee2-b911-4022-8db9-01d21a16a50e,8b825249-7b53-46c5-a6f2-101e71758d96,테스트팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-20 05:14:00,2026-03-27 05:14:00,임시,3,0,0,0,2026,1,"{12,13}",2026-03-20 05:31:48.57,27272e361289a7abccb52776a331c7f1,,,,,,tenant-local-001,
8f3f635f-2f6c-4f38-8f10-5fcaa8bdcf79,20260323테스트훈련,,개발부,"{개발부,""개발부 > 2팀""}",3f443c93-3290-4281-9d80-66814e9b08ea,6f14a493-5a52-4ddc-a302-7e7ecb39b313,정보보안팀,nayeong.ju@evriz.co.kr,Asia/Seoul,{},2026-03-23 05:45:00,2026-03-23 15:00:00,완료,3,1,1,1,2026,1,{13},2026-03-23 05:47:23.497,abe0e4dd35aaa3cf40ccd25ef12c1374,,,,,,tenant-local-001,
